# TA batch lookup results — Agent B (positions 201-400)
# Started 2026-05-30
# Format: <placeId>,<locationId>,<placeName>
# Misses: # MISS: <placeId> "<placeName>" — <reason>

379,7251449,Tribeca
833,32964120,Oro di Napoli
141,28318650,Da Carmè
2445,32900296,Fermento
1434,25413311,Sileo
2569,27408959,Il Bacaro della Pizza
1806,32745574,MIO MIO
1777,31651337,Don Vesevius
# MISS: 491 "Pizzeria Da Maki" — not on TA (Tabelog only)
666,9975740,La Saint Honoré
825,23768814,GIO PIZZERIA NAPOLETANA
# MISS: 1246 "La Pala" — not on TA (Tabelog only)
652,17748595,Napoli Corner
2438,12448329,L’ Arte del pane
310,3952054,Al Borgo
1751,25268099,Pizza Popolare
# MISS: 364 "Pizzeria l'Ape" — not on TA (Tabelog only)
# MISS: 741 "Vecchio Napoletana" — not on TA (Brazil)
# MISS: 839 "Il Ritrovo - Iwade" — not on TA (Iwade)
490,9660861,Il Ritrovo
2766,24869548,Twenties
85,27747836,Sintesi
2462,27962577,tRe in Pomposa
1396,19261482,Pizzeria Le Parùle
1109,34099550,Francesco Martucci
# MISS: 2632 "Pantera – Pizza Rustica" — not on TA (Milan)
2489,6350684,È bona furia
# MISS: 1591 "Majka" — not on TA
2795,28059440,Björn Pizzería
377,8055326,Pizzeria e Osteria PADRINO
525,10299654,Cal's Own
# MISS: 1121 "Lombardo’s Pizzeria" — not on TA
# MISS: 1115 "Fratesi’s Pizza" — not on TA
# MISS: 1912 "El Rubio Pizzeria" — not on TA
620,14735870,Felix
# MISS: 944 "Sfizieria Sorrento" — not on TA (only Pizzeria Sorrento)
2266,2634795,Bellavista
1034,25181465,Professor Pizza
2046,27928339,Daniele Baglieri – L’evoluzione della pizza
2442,10844596,Da Egidio 1970 – Pizza Rustica
823,33274113,Pizza Beppe 4
# MISS: 1308 "Pizzeria Davvero" — not on TA (Tabelog only)
2131,27965964,Il Maratoneta
1801,12657521,Pizzeria Ciro (Ciro Trattoria Gourmet)
2265,21380480,Fuoco
2638,24154618,Luppolo e Grano
2719,27868316,Pizza e Core
# MISS: 1304 "Pizzeria Ohsaki Musashiurawa" — not on TA (Tabelog only)
2218,28128657,Lisola Restaurant
# MISS: 1126 "Vincenzo’s Pizza" — not on TA (Portland OR)
# MISS: 2532 "Pizzeria Fantasy" — TA listing is Breda di Piave not San Donà
# MISS: 750 "OCTO Pasta Pizza" — no individual TA listing (inside Food Hall Browary)
# MISS: 888 "Albert NO.485" — not on TA (Varberg)
329,7661458,Trattoria Pizzeria Appetito
2130,27699977,Moderna
2041,23747158,Cotto & Mangiato da zii Fausto
# MISS: 2540 "Pizzeria e Friggitoria del Popolo" — name ambiguous on TA, multiple del Popolos
# MISS: 1176 "Alpha & Omega Farm" — not on TA (Princeton MN pizza farm)
# MISS: 2515 "Oltre Pizza Contemporanea" — not on TA (new pizzeria, opened 2025)
2398,33266596,Pizzetta
2318,27507283,Ultra
2013,27344742,Flames
# MISS: 1307 "Pizzeria Zina Chicco" — not on TA (Tabelog only)
# MISS: 716 "Nodo" — not on TA (Saikai/Tabelog only)
829,27795720,Amalfitana Pizza & Spritz
# MISS: 1935 "Oplontina PizzaBar" — not on TA (Reus)
2686,27873830,Quattro Braccia
# MISS: 1863 "DaVinci 19" — TA listing is Tapería Da Vinci, different concept name
2401,4302095,Pizzeria Centrale
874,33401439,Tom1i Pizza
89,32695792,Loop Pizza Croccante
# MISS: 2351 "La Piazzetta" — Samassi listing has 0 reviews and no TA URL found
720,25101060,La Ginestra
1108,33133094,Bar Bucce
223,4291042,Tano's Pizzeria
# MISS: 1306 "Pizzeria e Trattoria Elianto" — not on TA (Tabelog only)
1430,19849497,Claudio Alvicolo
# MISS: 577 "Napoli" — not on TA (Hamamatsu/Tabelog only)
# MISS: 580 "Pizzeria 21" — not on TA (Shunan/Yamaguchi)
83,26327868,Frankino’s
# MISS: 2375 "Pizzeria Russotto" — not found on TA Rome
# MISS: 1305 "Pizzeria Il Ceppo" — not on TA (Ishii Tokushima/Tabelog only)
