# TA batch lookup results — Agent C (slice 401..end)
# Format: <placeId>,<locationId>,<placeName>
# Misses: # MISS: <placeId> "<placeName>" — <reason>

811,17216388,That's Amore
# MISS: 812 "That's Amore street pizza" — no separate TA listing in Sydney for street pizza variant
828,1151979,Pepe's
# MISS: 879 "Gaetano" — no TA match in Talca, Chile
880,32709951,IL Pizzaiolo
# MISS: 853 "Si Nonna's – IWC VIP ROAD Surat" — no dedicated TA listing for Surat branch
# MISS: 856 "Si Nonna's Citadel Indore" — no Indore TA listing
858,33045550,Si Nonna's VST Marksquare
# MISS: 861 "Si Nonna's Utopia Bengaluru" — only St Marks Road has TA listing
# MISS: 864 "Si Nonna's Shivalik Ahmedabad" — no Ahmedabad TA listing
# MISS: 865 "Si Nonna's The Walk Thane" — no dedicated TA listing
# MISS: 866 "Si Nonna's Swagat Mall Gandhinagar" — no Gandhinagar TA listing
# MISS: 868 "Si Nonna's Sumadhura Bengaluru" — no dedicated TA listing (Whitefield branch)
# MISS: 869 "Si Nonna's HSR Bengaluru" — no dedicated TA listing
# MISS: 870 "Si Nonna's New Bel Road Bengaluru" — no dedicated TA listing
# MISS: 871 "Si Nonna's URBAN CUBES Gurugram" — no dedicated TA listing
# MISS: 872 "Si Nonna's KAMMANHALLI Bengaluru" — no dedicated TA listing
# MISS: 873 "Si Nonna's Bhartiya City Bengaluru" — no dedicated TA listing
# MISS: 881 "NAP Neapolitan Authentic Pizza Frankfurt" — only Madrid/Barcelona NAP on TA
920,25334551,Farina
926,21171671,No 900 Limoilou
# MISS: 927 "Kiewit Crossing Cafè" — no TA listing in Lone Tree CO
929,4456662,La Esquina
940,27707868,Scorchini's Pizza
# MISS: 945 "No 900 Terrebonne" — no dedicated Terrebonne TA listing
# MISS: 973 "Da Noi Zurich" — TA Da Noi is in Chur, not Zurich
986,23723909,Pizza Beppe 4
994,27944576,Michele pizza e amore
# MISS: 995 "Big Little Table Mountain View" — only "Big Table" exists, no reviews; uncertain match
996,25327152,No 900 - Lyon
997,17721575,Frasca
998,26859663,Bestia
# MISS: 999 "Vulcanica Santa Cruz de la Sierra" — no TA listing
1000,28662360,Pizzeria del Plebiscito
# MISS: 1001 "La Fiamma Zamość" — no TA listing yet (very new)
# MISS: 1002 "NEAPOLSKA Częstochowa" — no TA listing (new pizzeria, only Facebook/IT)
# MISS: 1003 "Arvorecer Camanducaia" — no TA listing
# MISS: 1005 "Napalone Bilcza" — no TA listing
1006,543703,Vito & Nick's
1009,28021027,Novel Pizza Cafe
1011,32831259,Pizz'Amici
1012,33057270,Zarella Pizzeria & Taverna
1013,27805560,Milly's Pizza In The Pan
1014,429108,Piece Brewery & Pizzeria
1016,17423106,Bungalow by Middle Brow
1017,33411828,Dimmi Dimmi Corner Italian
# MISS: 1021 "The Beer Temple" — TA categorized as shopping not restaurant; pizza is incidental
# MISS: 1023 "Crust Fund Pizza Chicago" — no TA listing
# MISS: 1068 "Red's the People's Pie Blue Island" — pop-up vendor, no dedicated TA listing
# MISS: 1085 "Cosetta Santa Monica" — no TA listing
1086,23063190,Pizza Wagon
1087,27941405,Little Dynamite
# MISS: 1088 "Redwood Pie Hermosa Beach" — no TA listing yet
# MISS: 1091 "Fiorelli Pizza Los Angeles" — no TA listing
# MISS: 1095 "Old Gold Tomato Pies" — no TA listing (new spot)
1098,27893323,Danny Boy's Famous Original Pizza
1100,33363886,LaSorted's Chinatown
# MISS: 1101 "Wallflour Pizza Los Angeles" — no TA listing (new 2025)
# MISS: 1103 "Secret Pizza Los Angeles" — no LA TA listing (only Las Vegas)
1155,2095050,Pomo Pizzeria Napoletana
# MISS: 1161 "Source Gilbert AZ" — no TA listing
# MISS: 1167 "Farina Rossa Minneapolis" — no TA listing
# MISS: 1177 "Chicago Slice Austin" — no TA listing
1183,27892708,Feral Pizza
1190,34091523,Small's Pizza
1192,26830623,Palm Pizza
1193,4788614,The ABGB
1208,19597503,Saccharum Pizzeria
